"","ID","Transect","QN","QL","Species","X","Y","Width","Length","Height","Notes","X.1","easting","northing"
"1","1",5,"8","R","ephedra",135,155,48,51,52,"","",622540.903,3849138.252
"2","2",5,"8","R","PG",170,150,79,115,65,"","",622541.253,3849138.202
"3","3",5,"8","R","s.mexicana",150,305,56,66,50,"","",622541.053,3849139.752
"4","4",5,"8","R","amb.sal",235,344,73,67,57,"","",622541.903,3849140.142
"5","5",5,"8","R","men.spi",110,590,46,36,27,"","",622540.653,3849142.602
"6","6",5,"8","R","u3",105,690,44,27,40,"","",622540.603,3849143.602
"7","7",5,"8","R","tha.mon",65,660,89,70,44,"","",622540.203,3849143.302
"8","8",5,"8","R","u3",105,690,44,27,40,"","",622540.603,3849143.602
"9","9",5,"8","R","tha.mon",55,825,70,71,37,"","",622540.103,3849144.952
"10","10",5,"8","R","PG",0,845,153,115,106,"","",622539.553,3849145.152
"11","11",5,"8","R","ephedra",70,900,73,60,48,"","",622540.253,3849145.702
"12","12",5,"8","R","amb.sal",255,750,88,76,60,"","",622542.103,3849144.202
"13","13",5,"8","R","amb.sal",315,790,46,31,45,"","",622542.703,3849144.602
"14","14",5,"8","R","amb.sal",355,540,51,40,51,"","",622543.103,3849142.102
"15","15",5,"8","R","u3",355,830,40,47,38,"","",622543.103,3849145.002
"16","16",5,"8","R","ephedra",335,630,93,62,37,"","",622542.903,3849143.002
"17","17",5,"8","R","u3",480,530,41,40,47,"","",622544.353,3849142.002
"18","18",5,"8","R","u3",485,640,80,57,45,"","",622544.403,3849143.102
"19","19",5,"8","R","tha.mon",495,805,54,50,40,"total overlap w/ 20","",622544.503,3849144.752
"20","20",5,"8","R","ephedra",495,805,54,50,40,"total overlap w/21","",622544.503,3849144.752
"21","21",5,"8","R","cyl.ech",515,890,65,64,50,"","",622544.703,3849145.602
"22","22",5,"8","R","u3",435,835,45,33,30,"","",622543.903,3849145.052
"23","23",5,"8","R","lar.tri",765,840,350,468,254,"","",622547.203,3849145.102
"24","24",5,"8","R","u3",870,640,38,43,30,"","",622548.253,3849143.102
"25","25",5,"8","R","u3",850,695,23,34,17,"","",622548.053,3849143.652
"26","26",5,"8","R","ephedra",975,555,100,64,53,"","",622549.303,3849142.252
"27","27",5,"8","R","cyl.ech",965,535,40,34,55,"","",622549.203,3849142.052
"28","28",5,"8","R","u3",850,520,25,14,44,"","",622548.053,3849141.902
"29","29",5,"8","R","dense.u3",870,460,50,32,50,"looks like u3 but more dense","",622548.253,3849141.302
"30","30",5,"8","R","u3",755,420,40,37,41,"","",622547.103,3849140.902
"31","31",5,"8","R","u3",760,360,68,62,42,"","",622547.153,3849140.302
"32","32",5,"8","R","u3",760,290,45,27,50,"","",622547.153,3849139.602
