,nn,sp_simp,Type,Species,Width,Height,sp_simp,Type,Species,Width,Height
49,0.427200188,cyl.ech,cactus,cyl.ech,19,43,u3,shrub,u3,72,59
83,0.364005495,cyl.ech,cactus,cyl.ech,25,36,amb.sal,shrub,amb.sal,45,53
154,0.15,cyl.ech,cactus,cyl.ech,34,33,u3,shrub,u3,65,43
224,1.051189802,cyl.ech,cactus,cyl.ech,28,35,u3,shrub,u3,14,31
246,0.87321246,cyl.ech,cactus,cyl.ech,30,30,noID,shrub,?,56,31
319,0.447213595,cyl.ech,cactus,cyl.ech,23,38,men.spi,shrub,men.spi,37,17
322,0.180277564,cyl.ech,cactus,cyl.ech,24,42,u3,shrub,u3,71,49
327,1.817278184,cyl.ech,cactus,cyl.ech,61,48,u3,shrub,u3,42,32
344,0.291547595,cyl.ech,cactus,cyl.ech,31,41,u3,shrub,u3,37,28
361,0.65,cyl.ech,cactus,cyl.ech,38,35,u3,shrub,u3,74,44
364,0.111803399,cyl.ech,cactus,cyl.ech,26,32,u3,shrub,u3,70,61
369,0.223606798,cyl.ech,cactus,cyl.ech,10,15,u3,shrub,u3,51,40
372,0.992471662,cyl.ech,cactus,cyl.ech,32,27,u3,shrub,u3,97,43
380,0.694622199,cyl.ech,cactus,cyl.ech,46,34,men.spi,shrub,men.spi,40,20
391,0.610327781,cyl.ech,cactus,cyl.ech,32,37,u3,shrub,u3,75,49
403,0.3,cyl.ech,cactus,cyl.ech,70,58,amb.sal,shrub,amb.sal,70,58
479,0.15,cyl.ech,cactus,cyl.ech,64,50,u3,shrub,u3,74,33
483,0.25,cyl.ech,cactus,cyl.ech,72,53,u3,shrub,u3,94,53
497,0.070710678,cyl.ech,cactus,cyl.ech,30,31,u3,shrub,u3,52,24
34,0.070710678,cyl.ram,cactus,cyl.ram,9,26,tha.mon,shrub,tha.mon,69,34
102,0.291547595,cyl.ram,cactus,cyl.ram,18,24,tha.mon,shrub,tha.mon,89,30
106,1.004987562,cyl.ram,cactus,cyl.ram,16,30,ephedra,shrub,ephedra,125,62
115,0.863133825,cyl.ram,cactus,cyl.ram,123,122,u3,shrub,u3,17,25
125,0.930053762,cyl.ram,cactus,cyl.ram,10,6,u3,shrub,u3,46,40
134,0.111803399,cyl.ram,cactus,cyl.ram,108,75,ephedra,shrub,ephedra,98,42
147,0.905538514,cyl.ram,cactus,cyl.ram,87,68,ephedra,shrub,ephedra,123,47
161,0.180277564,cyl.ram,cactus,cyl.ram,38,53,u3,shrub,u3,64,46
233,1.3,cyl.ram,cactus,cyl.ram,120,100,u3,shrub,u3,65,56
239,0.87321246,cyl.ram,cactus,cyl.ram,47,47,ephedra,shrub,ephedra,136,56
280,1.236931687,cyl.ram,cactus,cyl.ram,103,85,noID,shrub,?,8,6
