FID,Species,Name,Width,Length,Height,Transect,QN,QL,X,Y,Notes,sp_simp,Type,easting,northing,,,,
63,eri.fas, ,78,86,46,6,7,R,255,30, ,eri.fas,shrub,622557.927,3849068.292,,,,
64,amb.sal, ,9,10,14,6,7,R,370,95, ,amb.sal,shrub,622559.077,3849068.942,,,,
65,ephedra, ,74,75,50,6,7,R,25,310, ,ephedra,shrub,622555.627,3849071.092,,,,
66,PG, ,69,79,59,6,7,R,0,330, ,PG,shrub,622555.377,3849071.292,,,,
67,cyl.ech, ,31,22,40,6,7,R,20,345, ,cyl.ech,cactus,622555.577,3849071.442,,,,
68,u3, ,27,45,39,6,7,R,75,450, ,u3,shrub,622556.127,3849013.942,,,,
69,u3, ,67,50,45,6,7,R,95,595, ,u3,shrub,622556.327,3849073.942,,,,
70,ephedra, ,95,95,60,6,7,R,195,510, ,ephedra,shrub,622557.327,3849073.092,,,,
71,tha.mon, ,33,24,28,6,7,R,245,550, ,tha.mon,shrub,622557.827,3849073.492,,,,
72,u3, ,29,50,34,6,7,R,245,550, ,u3,shrub,622557.827,3849073.492,,,,
73,u3, ,53,43,44,6,7,R,190,410, ,u3,shrub,622557.277,3849072.092,,,,
74,u3, ,38,40,48,6,7,R,10,800, ,u3,shrub,622555.477,3849075.992,,,,
75,ephedra,,107,135,69,,,,,,,ephedra,shrub,622556.727,3849076.692,,,,
76,u3, ,30,53,51,6,7,,215,870, ,u3,shrub,622557.527,3849076.692,,,,
77,u3, ,27,29,41,6,7,R,235,825, ,u3,shrub,622557.727,3849076.242,,,,
78,u3, ,80,50,47,6,7,R,260,900, ,u3,shrub,622557.977,3849076.992,,,,
79,amb.sal, ,35,57,50,6,7,R,365,860, ,amb.sal,shrub,622559.027,3849076.592,,,,
80,u3, ,58,40,38,6,7,R,515,910, ,u3,shrub,622560.527,3849077.092,,,,
81,u3, ,36,41,37,6,7,R,555,770, ,u3,shrub,622560.927,3849075.692,,,,
82,u3, ,26,33,37,6,7,R,655,975, ,u3,shrub,622561.927,3849077.742,,,,
83,u3, ,62,52,56,6,7,R,710,920, ,u3,shrub,622562.477,3849077.692,,,,
84,cyl.ram, ,14,16,40,6,7,R,710,970, ,cyl.ram,cactus,622562.477,3849077.692,,,,
85,lar.tri, ,460,366,160,6,7,R,775,715, ,lar.tri,shrub,622563.127,3849075.142,,,,
86,lar.tri, ,284,243,234,6,7,R,860,370, ,lar.tri,shrub,622563.977,3849071.692,,,,
87,ephedra, ,60,47,46,6,7,R,745,175, ,ephedra,shrub,622562.827,3849069.742,,,,
88,u3, ,36,30,27,6,7,R,540,640, ,u3,shrub,622560.777,3849074.392,,,,
89,u3, ,49,33,43,6,7,R,520,605, ,u3,shrub,622560.577,3849074.042,,,,
90,ephedra, ,69,64,50,6,7,R,550,475, ,ephedra,shrub,622560.877,3849072.742,,,,
91,u3, ,39,32,42,6,7,R,420,565, ,u3,shrub,622559.577,3849073.642,,,,
92,u3, ,50,30,35,6,7,R,480,210, ,u3,shrub,622560.177,3849070.092,,,,
93,lar.tri, ,75,95,55,6,7,R,400,290, ,lar.tri,shrub,622559.377,3849070.892,,,,
94,u3, ,60,53,52,6,7,R,320,340, ,u3,shrub,622558.577,3849071.392,,,,
95,cyl.ram, ,7,5,16,6,7,R,320,245, ,cyl.ram,cactus,622558.577,3849070.442,,,,
96,u3, ,25,42,36,6,7,R,260,310, ,u3,shrub,622557.977,3849071.092,,,,
97,lar.tri, ,15,12,20,6,7,R,210,280, ,lar.tri,shrub,622557.477,3849070.792,,,,
98,u3, ,45,45,38,6,7,L,50,30, ,u3,shrub,622565.877,3849068.292,,,,
99,ephedra, ,42,60,35,6,7,L,125,65, ,ephedra,shrub,622566.627,3849068.642,,,,
100,ephedra, ,60,90,59,6,7,L,160,105, ,ephedra,shrub,622566.977,3849069.042,,,,
101,ephedra, ,30,28,33,6,7,L,295,270, ,ephedra,shrub,622568.327,3849070.692,,,,
102,ephedra, ,64,65,51,6,7,L,305,315, ,ephedra,shrub,622568.427,3849071.142,,,,
103,ephedra, ,30,37,32,6,7,L,320,355, ,ephedra,shrub,622568.577,3849071.542,,,,
104,ephedra, ,6,8,19,6,7,L,295,255, ,ephedra,shrub,622568.327,3849070.542,,,,
105,ephedra, ,9,25,34,6,7,L,295,295, ,ephedra,shrub,622568.327,3849070.942,,,,
106,ephedra, ,4,6,28,6,7,L,305,260, ,ephedra,shrub,622568.427,3849070.592,,,,
107,ephedra, ,7,6,18,6,7,L,305,240, ,ephedra,shrub,622568.427,3849070.392,,,,
108,ephedra, ,12,13,35,6,7,L,315,285, ,ephedra,shrub,622568.527,3849070.842,,,,
109,lar.tri, ,308,339,193,6,7,L,355,680, ,lar.tri,shrub,622567.127,3849075.692,,,,
110,amb.sal, ,67,79,58,6,7,L,20,920, ,amb.sal,shrub,622565.577,3849077.192,,,,
111,ephedra, ,33,15,37,6,7,L,155,915, ,ephedra,shrub,622566.927,3849077.142,,,,
112,ephedra, ,40,20,35,6,7,L,175,770, ,ephedra,shrub,622567.127,3849075.692,,,,
113,ephedra, ,26,33,40,6,7,L,195,795, ,ephedra,shrub,622567.327,3849075.942,,,,
114,ephedra, ,20,12,32,6,7,L,235,805, ,ephedra,shrub,622567.727,3849076.042,,,,
115,ephedra, ,25,24,34,6,7,L,235,835, ,ephedra,shrub,622567.727,3849076.342,,,,
116,u3, ,62,63,46,6,7,L,425,780, ,u3,shrub,622569.627,3849075.792,,,,
118,ephedra, ,170,100,47,6,7,L,395,550, ,ephedra,shrub,622569.327,3849072.492,,#REF!,#REF!,
,lar.tri,,363,345,230,,,,,,,lar.tri,shrub,622569.327,3849070.142,,,,
119,u3, ,28,26,40,6,7,L,490,750, ,u3,shrub,622570.277,3849075.492,,,,
120,cyl.ram, ,15,26,40,6,7,L,510,845, ,cyl.ram,cactus,622570.477,3849076.442,,#REF!,,
121,PG, ,52,60,53,6,7,L,550,960, ,PG,shrub,622570.877,3849077.592,,,,
122,cyl.ram, ,33,22,45,6,7,L,590,800, ,cyl.ram,cactus,622571.277,3849075.992,,,,
123,u3, ,31,19,30,6,7,L,670,900, ,u3,shrub,622572.077,3849076.992,,,,
124,u3, ,50,74,46,6,7,L,745,630, ,u3,shrub,622572.827,3849074.292,,,,
125,lar.tri, ,240,215,216,6,7,L,840,510, ,lar.tri,shrub,622573.777,3849073.092,,,,
,ephedra,,75,69,50,,,,,,,ephedra,shrub,622573.477,3849073.092,,,,
126,ephedra, ,31,29,30,6,7,L,985,530, ,ephedra,shrub,622575.227,3849073.292,,,,
127,eri.fas, ,15,21,20,6,7,L,990,600, ,eri.fas,shrub,622575.277,3849073.992,,,,
128,u3, ,55,59,43,6,7,L,955,275, ,u3,shrub,622574.927,3849070.742,,,,
129,men.spi?, ,28,40,18,6,7,L,910,110, ,men.spi,shrub,622574.477,3849069.092,,,,
130,u3, ,26,21,30,6,7,L,875,185, ,u3,shrub,622574.127,3849069.842,,,,
131,u3, ,35,33,30,6,7,L,785,125, ,u3,shrub,622573.227,3849069.242,,,,
132,cyl.ram, ,63,65,60,6,7,L,680,165, ,cyl.ram,cactus,622572.177,3849069.642,,,,
133,u3, ,30,40,54,6,7,L,620,60, ,u3,shrub,622571.577,3849068.592,,,,
134,u3, ,50,38,31,6,7,L,545,325, ,u3,shrub,622570.827,3849071.242,,,,
136,amb.sal, ,95,68,70,6,6,R,450,35, ,amb.sal,shrub,622559.877,3849078.342,,,,
137,ephedra, ,52,42,55,6,6,R,180,180, ,ephedra,shrub,622557.177,3849079.792,,,,
138,lar.tri, ,254,310,193,6,6,R,50,280, ,lar.tri,shrub,622555.877,3849080.792,,,,
139,u3, ,59,64,39,6,6,R,107,665, ,u3,shrub,622556.447,3849084.642,,,,
141,ephedra, ,84,94,52,6,6,R,40,765, ,ephedra,shrub,622555.777,3849085.642,,,,
142,ephedra, ,70,66,56,6,6,R,80,805, ,ephedra,shrub,622556.177,3849086.042,,,,
143,ephedra, ,40,46,33,6,6,R,10,890, ,ephedra,shrub,622555.477,3849086.892,,,,
144,U?, ,62,40,38,6,6,R,134,910,"toothed fuzzy leaves, large flower head",noID,shrub,622556.717,3849087.092,,,,
145,u3, ,27,50,34,6,6,R,220,785, ,u3,shrub,622557.577,3849085.842,,,,
146,lar.tri, ,270,310,157,6,6,R,490,1000, ,lar.tri,shrub,622560.277,3849087.992,,,,
147,u3, ,70,67,45,6,6,R,440,690, ,u3,shrub,622559.777,3849084.892,,,,
148,ephedra, ,53,52,51,6,6,R,650,810, ,ephedra,shrub,622561.877,3849086.092,,,,
149,u3, ,45,30,34,6,6,R,685,830, ,u3,shrub,622562.227,3849086.292,,,,
150,u3, ,23,21,20,6,6,R,765,525, ,u3,shrub,622563.027,3849083.242,,,,
151,u3, ,26,32,23,6,6,R,570,610, ,u3,shrub,622561.077,3849084.092,,,,
,cyl.ech,,,,,,,,,,,cyl.ech,cactus,622561.077,3849084.092,,,,
,cyl.ech,,30,29,25,,,,,,,,,622560.627,3849083.242,,,,
152,cyl.ech, ,23,21,20,6,6,R,765,525, ,cyl.ech,cactus,622563.027,3849083.242,,,,
153,ephedra, ,100,100,55,6,6,R,800,680, ,ephedra,shrub,622563.377,3849084.792,,,,
154,ephedra, ,60,55,50,6,6,R,750,680, ,ephedra,shrub,622562.877,3849084.792,,,,
155,u3, ,47,56,38,6,6,R,700,595, ,u3,shrub,622562.377,3849083.942,,,,
156,cyl.ech, ,25,26,46,6,6,R,690,595, ,cyl.ech,cactus,622562.277,3849083.942,,,,
157,lar.tri, ,376,272,165,6,6,R,750,305, ,lar.tri,shrub,622562.877,3849081.042,,,,
158,u3, ,50,43,44,6,6,R,605,150, ,u3,shrub,622561.427,3849079.492,,,,
159,u3, ,30,30,31,6,6,R,965,265, ,u3,shrub,622565.027,3849080.642,,,,
160,u3, ,20,18,29,6,6,R,885,75, ,u3,shrub,622564.227,3849078.742,,,,
161,ephedra, ,47,49,49,6,6,L,120,65, ,ephedra,shrub,622566.577,3849078.642,,,,
162,ephedra, ,35,53,50,6,6,L,155,70, ,ephedra,shrub,622566.927,3849078.692,,,,
163,ephedra, ,10,8,30,6,6,L,30,120, ,ephedra,shrub,622565.677,3849079.192,,,,
164,ephedra, ,30,32,32,6,6,L,205,190, ,ephedra,shrub,622567.427,3849079.892,,,,
165,ephedra, ,46,45,60,6,6,L,35,425, ,ephedra,shrub,622565.727,3849082.242,,,,
166,amb.sal, ,57,48,72,6,6,L,60,425, ,amb.sal,shrub,622565.977,3849082.242,,,,
167,u3, ,50,40,46,6,6,L,0,515, ,u3,shrub,622565.377,3849083.142,,,,
168,u3, ,34,55,45,6,6,L,230,515, ,u3,shrub,622567.677,3849083.142,,,,
169,PG, ,5,6,11,6,6,L,260,665,under dead shrub,PG,shrub,622567.977,3849084.642,,,,
170,PG, ,125,120,100,6,6,L,170,805, ,PG,shrub,622567.077,3849086.042,,,,
171,ephedra, ,175,138,52,6,6,L,610,870,ring formation,ephedra,shrub,622571.477,3849086.692,,,,
172,u3, ,22,30,29,6,6,L,560,915, ,u3,shrub,622570.977,3849087.142,,,,
173,u3, ,39,30,36,6,6,L,585,870,inside ephedra ring,u3,shrub,622571.227,3849086.692,,,,
174,cyl.ram, ,44,47,66,6,6,L,680,905, ,cyl.ram,cactus,622572.177,3849087.042,,,,
175,u3, ,30,20,36,6,6,L,680,855, ,u3,shrub,622572.177,3849086.542,,,,
176,eri.fas, ,34,24,36,6,6,L,680,970, ,eri.fas,shrub,622572.177,3849087.692,,,,
177,PG, ,100,109,71,6,6,L,730,950, ,PG,shrub,622572.677,3849087.492,,,,
178,PG, ,64,84,92,6,6,L,760,830, ,PG,shrub,622572.977,3849086.292,,,,
179,PG, ,132,137,107,6,6,L,920,930, ,PG,shrub,622574.577,3849087.292,,,,
