"","names","Joincount","Expected","Variance","z.value","p","transect"
"1","amb.sal:amb.sal",19.175,13.0659824046921,2.35211052759442,3.98329538510495,6.79661913669929e-05,4
"2","cyl.aca:cyl.aca",0,0.0146627565982405,0.00391785168438821,-0.234256488947655,0.814785862935456,4
"3","cyl.ech:cyl.ech",0,0.224340175953079,0.0577985828906831,-0.933143555161376,0.350745853455638,4
"4","cyl.ram:cyl.ram",0,0.0527859237536657,0.0139480295609194,-0.446952835219926,0.654909114391853,4
"5","ephedra:ephedra",7.575,4.63343108504399,0.993562619706196,2.95108287228076,0.00316661942081966,4
"6","eri.coo:eri.coo",0.458333333333333,0.0146627565982405,0.00391785168438821,7.08821092807445,1.35856800641237e-12,4
"7","lar.tri:lar.tri",1.29166666666667,0.30791788856305,0.0786597039719917,3.50758377188639,0.000452195954380648,4
"8","men.spi:men.spi",0,0.00879765395894428,0.00235724343709239,-0.181202697297622,0.856208477512517,4
"9","noID:noID",1.73333333333333,0.338709677419355,0.0862800853453579,4.74790198125285,2.0553759777901e-06,4
"10","sal.mex:sal.mex",5.95833333333333,0.439882697947214,0.111097927198223,16.5563341830016,1.44111096439751e-61,4
"11","tha.mon:tha.mon",0.958333333333333,0.278592375366569,0.071370589137889,2.54439069333533,0.0109468567356582,4
"12","u3:u3",90.6809523809524,82.0307917888563,6.41616391119169,3.41496648044446,0.000637898610665686,4
"13","yuc.sch:yuc.sch",0.783333333333333,0.0146627565982405,0.00391785168438821,12.2805060055992,1.15275008509839e-34,4
"14","cyl.aca:amb.sal",1.55,0.982404692082111,0.215118080032881,1.22377151488565,0.221038432820467,4
"15","cyl.ech:amb.sal",4.15833333333333,3.5366568914956,0.763584260640487,0.711436145446896,0.476814007046495,4
"16","cyl.ech:cyl.aca",0.25,0.131964809384164,0.0345325388346646,0.635180638150376,0.525310609534547,4
"17","cyl.ram:amb.sal",1.375,1.7683284457478,0.385544724447204,-0.633458216275658,0.526434458502994,4
"18","cyl.ram:cyl.aca",0.225,0.0659824046920821,0.0174849104643369,1.20257861123058,0.229139428696013,4
"19","cyl.ram:cyl.ech",0,0.237536656891496,0.0618214207594698,-0.955347010769733,0.339402241320113,4
"20","ephedra:amb.sal",14.5333333333333,15.7184750733138,3.16391934519564,-0.666281250287144,0.505231347713029,4
"21","ephedra:cyl.aca",0.558333333333333,0.586510263929619,0.140089560337487,-0.0752819389375912,0.939990391339759,4
"22","ephedra:cyl.ech",1.78333333333333,2.11143695014663,0.496329097533556,-0.465721351912405,0.641414966836346,4
"23","ephedra:cyl.ram",0.741666666666667,1.05571847507331,0.250931467118031,-0.626936760735423,0.530700689364474,4
"24","eri.coo:amb.sal",0,0.982404692082111,0.215118080032881,-2.11812687929058,0.0341643236741628,4
"25","eri.coo:cyl.aca",0,0.0366568914956012,0.00976782459055866,-0.370899892980001,0.710712094868588,4
"26","eri.coo:cyl.ech",0,0.131964809384164,0.0345325388346646,-0.71013984389483,0.477617420409569,4
"27","eri.coo:cyl.ram",0.458333333333333,0.0659824046920821,0.0174849104643369,2.96717375185292,0.00300551059984719,4
"28","eri.coo:ephedra",1.49166666666667,0.586510263929619,0.140089560337487,2.41835883461356,0.0155906936397425,4
"29","lar.tri:amb.sal",1.43333333333333,4.12609970674487,0.8879296197596,-2.85765241790433,0.00426787608811437,4
"30","lar.tri:cyl.aca",0.25,0.153958944281525,0.0401179078261051,0.479499089925349,0.631583615491123,4
"31","lar.tri:cyl.ech",0.85,0.55425219941349,0.141889937771611,0.785137506622455,0.432372951215669,4
"32","lar.tri:cyl.ram",1.33333333333333,0.277126099706745,0.0718223063327788,3.94111823489343,8.11026348381053e-05,4
"33","lar.tri:ephedra",3.01666666666667,2.4633431085044,0.576898566182617,0.728499790535882,0.466307696840164,4
"34","lar.tri:eri.coo",0,0.153958944281525,0.0401179078261051,-0.768662663239109,0.442093595173814,4
"35","men.spi:amb.sal",0.558333333333333,0.785923753665689,0.172279777316525,-0.548323459358534,0.583469821990438,4
"36","men.spi:cyl.aca",0,0.0293255131964809,0.00782505676118789,-0.331513999356574,0.74025626832313,4
"37","men.spi:cyl.ech",0,0.105571847507331,0.0276634920836124,-0.634738177746288,0.525599189693814,4
"38","men.spi:cyl.ram",0,0.0527859237536657,0.0140071464383437,-0.446008660261194,0.655590990222779,4
"39","men.spi:ephedra",0.541666666666667,0.469208211143695,0.112208286213262,0.216310005321047,0.828746110561766,4
"40","men.spi:eri.coo",0,0.0293255131964809,0.00782505676118789,-0.331513999356574,0.74025626832313,4
"41","men.spi:lar.tri",0.6,0.12316715542522,0.0321376515669075,2.65986192866727,0.00781726903023363,4
"42","noID:amb.sal",2.86666666666667,4.32258064516129,0.929192759509085,-1.51036810984541,0.130949521199738,4
"43","noID:cyl.aca",0,0.161290322580645,0.0419689004011776,-0.787307729394885,0.431101746059629,4
"44","noID:cyl.ech",1.03333333333333,0.580645161290323,0.148440565887677,1.17495936358808,0.24001097378885,4
"45","noID:cyl.ram",0.266666666666667,0.290322580645161,0.0751367167903409,-0.0863005622706721,0.931227491517891,4
"46","noID:ephedra",2.14166666666667,2.58064516129032,0.603618417789034,-0.565017635732175,0.572061768839894,4
